,accuracy,bool_hebbian,phi,theta
0,0.2008,1,0.016666666666666666,1
1,0.2512,1,0.03333333333333333,1
2,0.2935,1,0.05,1
3,0.3007,1,0.06666666666666667,1
4,0.3214,1,0.08333333333333333,1
5,0.3437,1,0.1,1
6,0.3616,1,0.11666666666666667,1
7,0.3937,1,0.13333333333333333,1
8,0.4267,1,0.15,1
9,0.446,1,0.16666666666666666,1
10,0.4744,1,0.18333333333333332,1
11,0.4981,1,0.2,1
12,0.4977,1,0.21666666666666667,1
13,0.5051,1,0.23333333333333334,1
14,0.5125,1,0.25,1
15,0.5069,1,0.26666666666666666,1
16,0.5112,1,0.2833333333333333,1
17,0.5204,1,0.3,1
18,0.5231,1,0.31666666666666665,1
19,0.5237,1,0.3333333333333333,1
20,0.5295,1,0.35,1
21,0.5267,1,0.36666666666666664,1
22,0.5319,1,0.38333333333333336,1
23,0.5296,1,0.4,1
24,0.5379,1,0.4166666666666667,1
25,0.5395,1,0.43333333333333335,1
26,0.53,1,0.45,1
27,0.542,1,0.4666666666666667,1
28,0.5466,1,0.48333333333333334,1
29,0.5381,1,0.5,1
30,0.5406,1,0.5166666666666667,1
31,0.5378,1,0.5333333333333333,1
32,0.5401,1,0.55,1
33,0.5469,1,0.5666666666666667,1
34,0.5487,1,0.5833333333333334,1
35,0.553,1,0.6,1
36,0.559,1,0.6166666666666667,1
37,0.557,1,0.6333333333333333,1
38,0.5564,1,0.65,1
39,0.5589,1,0.6666666666666666,1
40,0.5634,1,0.6833333333333333,1
41,0.5603,1,0.7,1
42,0.5577,1,0.7166666666666667,1
43,0.5634,1,0.7333333333333333,1
44,0.5644,1,0.75,1
45,0.5726,1,0.7666666666666667,1
46,0.5752,1,0.7833333333333333,1
47,0.5711,1,0.8,1
48,0.5765,1,0.8166666666666667,1
49,0.5802,1,0.8333333333333334,1
50,0.5731,1,0.85,1
51,0.5733,1,0.8666666666666667,1
52,0.5772,1,0.8833333333333333,1
53,0.5802,1,0.9,1
54,0.5793,1,0.9166666666666666,1
55,0.5806,1,0.9333333333333333,1
56,0.5821,1,0.95,1
57,0.5764,1,0.9666666666666667,1
58,0.5803,1,0.9833333333333333,1
59,0.5863,1,1.0,1
60,0.5867,1,1.0166666666666666,1
61,0.5845,1,1.0333333333333334,1
62,0.5878,1,1.05,1
63,0.5878,1,1.0666666666666667,1
64,0.5894,1,1.0833333333333333,1
65,0.5919,1,1.1,1
66,0.5875,1,1.1166666666666667,1
67,0.5817,1,1.1333333333333333,1
68,0.5901,1,1.15,1
69,0.5892,1,1.1666666666666667,1
70,0.5893,1,1.1833333333333333,1
71,0.588,1,1.2,1
72,0.5911,1,1.2166666666666666,1
73,0.5917,1,1.2333333333333334,1
74,0.5914,1,1.25,1
75,0.5945,1,1.2666666666666666,1
76,0.596,1,1.2833333333333334,1
77,0.5957,1,1.3,1
78,0.5949,1,1.3166666666666667,1
79,0.598,1,1.3333333333333333,1
80,0.5973,1,1.35,1
81,0.597,1,1.3666666666666667,1
82,0.5934,1,1.3833333333333333,1
83,0.5966,1,1.4,1
84,0.598,1,1.4166666666666667,1
85,0.6016,1,1.4333333333333333,1
86,0.5978,1,1.45,1
87,0.6008,1,1.4666666666666666,1
88,0.601,1,1.4833333333333334,1
89,0.6012,1,1.5,1
90,0.6023,1,1.5166666666666666,1
91,0.6031,1,1.5333333333333334,1
92,0.6036,1,1.55,1
93,0.6062,1,1.5666666666666667,1
94,0.6033,1,1.5833333333333333,1
95,0.6116,1,1.6,1
96,0.6253,1,1.6166666666666667,1
97,0.6545,1,1.6333333333333333,1
98,0.6715,1,1.65,1
99,0.6813,1,1.6666666666666667,1
100,0.6831,1,1.6833333333333333,1
101,0.689,1,1.7,1
102,0.6901,1,1.7166666666666666,1
103,0.692,1,1.7333333333333334,1
104,0.6905,1,1.75,1
105,0.6914,1,1.7666666666666666,1
106,0.6907,1,1.7833333333333334,1
107,0.6924,1,1.8,1
108,0.6932,1,1.8166666666666667,1
109,0.6941,1,1.8333333333333333,1
110,0.6931,1,1.85,1
111,0.6969,1,1.8666666666666667,1
112,0.6967,1,1.8833333333333333,1
113,0.692,1,1.9,1
114,0.6975,1,1.9166666666666667,1
115,0.6982,1,1.9333333333333333,1
116,0.6987,1,1.95,1
117,0.7002,1,1.9666666666666666,1
118,0.6959,1,1.9833333333333334,1
119,0.6976,1,2.0,1
120,0.699,1,2.0166666666666666,1
121,0.6991,1,2.033333333333333,1
122,0.7014,1,2.05,1
123,0.7004,1,2.066666666666667,1
124,0.7008,1,2.0833333333333335,1
125,0.7013,1,2.1,1
126,0.7011,1,2.1166666666666667,1
127,0.7051,1,2.1333333333333333,1
128,0.7031,1,2.15,1
129,0.702,1,2.1666666666666665,1
130,0.7023,1,2.183333333333333,1
131,0.7021,1,2.2,1
132,0.7059,1,2.216666666666667,1
133,0.7052,1,2.2333333333333334,1
134,0.7052,1,2.25,1
135,0.7059,1,2.2666666666666666,1
136,0.702,1,2.283333333333333,1
137,0.7061,1,2.3,1
138,0.7055,1,2.316666666666667,1
139,0.7061,1,2.3333333333333335,1
140,0.7048,1,2.35,1
141,0.7062,1,2.3666666666666667,1
142,0.7075,1,2.3833333333333333,1
143,0.7102,1,2.4,1
144,0.709,1,2.4166666666666665,1
145,0.7056,1,2.433333333333333,1
146,0.7088,1,2.45,1
147,0.71,1,2.466666666666667,1
148,0.7111,1,2.4833333333333334,1
149,0.7084,1,2.5,1
150,0.711,1,2.5166666666666666,1
151,0.7125,1,2.533333333333333,1
152,0.7098,1,2.55,1
153,0.7074,1,2.566666666666667,1
154,0.7127,1,2.5833333333333335,1
155,0.7089,1,2.6,1
156,0.7109,1,2.6166666666666667,1
157,0.7095,1,2.6333333333333333,1
158,0.7119,1,2.65,1
159,0.7133,1,2.6666666666666665,1
160,0.7104,1,2.683333333333333,1
161,0.7136,1,2.7,1
162,0.713,1,2.716666666666667,1
163,0.7119,1,2.7333333333333334,1
164,0.7152,1,2.75,1
165,0.7157,1,2.7666666666666666,1
166,0.712,1,2.783333333333333,1
167,0.7132,1,2.8,1
168,0.7149,1,2.816666666666667,1
169,0.7149,1,2.8333333333333335,1
170,0.7155,1,2.85,1
171,0.718,1,2.8666666666666667,1
172,0.7178,1,2.8833333333333333,1
173,0.7131,1,2.9,1
174,0.7152,1,2.9166666666666665,1
175,0.7196,1,2.933333333333333,1
176,0.7172,1,2.95,1
177,0.719,1,2.966666666666667,1
178,0.7159,1,2.9833333333333334,1
179,0.7181,1,3.0,1
180,0.7157,1,3.0166666666666666,1
181,0.7201,1,3.033333333333333,1
182,0.7188,1,3.05,1
183,0.7173,1,3.066666666666667,1
184,0.7175,1,3.0833333333333335,1
185,0.7182,1,3.1,1
186,0.7199,1,3.1166666666666667,1
187,0.7205,1,3.1333333333333333,1
188,0.7221,1,3.15,1
189,0.7226,1,3.1666666666666665,1
190,0.7201,1,3.183333333333333,1
191,0.7164,1,3.2,1
192,0.7206,1,3.216666666666667,1
193,0.7215,1,3.2333333333333334,1
194,0.7223,1,3.25,1
195,0.7218,1,3.2666666666666666,1
196,0.7218,1,3.283333333333333,1
197,0.7199,1,3.3,1
198,0.7203,1,3.316666666666667,1
199,0.7219,1,3.3333333333333335,1
200,0.7226,1,3.35,1
201,0.7244,1,3.3666666666666667,1
202,0.7226,1,3.3833333333333333,1
203,0.7192,1,3.4,1
204,0.7238,1,3.4166666666666665,1
205,0.7188,1,3.433333333333333,1
206,0.7206,1,3.45,1
207,0.722,1,3.466666666666667,1
208,0.725,1,3.4833333333333334,1
209,0.7244,1,3.5,1
210,0.7259,1,3.5166666666666666,1
211,0.7271,1,3.533333333333333,1
212,0.72,1,3.55,1
213,0.7249,1,3.566666666666667,1
214,0.7267,1,3.5833333333333335,1
215,0.7256,1,3.6,1
216,0.726,1,3.6166666666666667,1
217,0.7275,1,3.6333333333333333,1
218,0.7311,1,3.65,1
219,0.7269,1,3.6666666666666665,1
220,0.7239,1,3.683333333333333,1
221,0.7244,1,3.7,1
222,0.7262,1,3.716666666666667,1
223,0.7268,1,3.7333333333333334,1
224,0.7282,1,3.75,1
225,0.7293,1,3.7666666666666666,1
226,0.7274,1,3.783333333333333,1
227,0.7287,1,3.8,1
228,0.7232,1,3.816666666666667,1
229,0.7295,1,3.8333333333333335,1
230,0.7283,1,3.85,1
231,0.7262,1,3.8666666666666667,1
232,0.7293,1,3.8833333333333333,1
233,0.7285,1,3.9,1
234,0.727,1,3.9166666666666665,1
235,0.7309,1,3.933333333333333,1
236,0.7292,1,3.95,1
237,0.7315,1,3.966666666666667,1
238,0.7288,1,3.9833333333333334,1
239,0.7306,1,4.0,1
240,0.7291,1,4.016666666666667,1
241,0.7293,1,4.033333333333333,1
242,0.7289,1,4.05,1
243,0.7297,1,4.066666666666666,1
244,0.7339,1,4.083333333333333,1
245,0.7338,1,4.1,1
246,0.7276,1,4.116666666666666,1
247,0.7301,1,4.133333333333334,1
248,0.7316,1,4.15,1
249,0.7326,1,4.166666666666667,1
250,0.7321,1,4.183333333333334,1
251,0.731,1,4.2,1
252,0.7287,1,4.216666666666667,1
253,0.7311,1,4.233333333333333,1
254,0.732,1,4.25,1
255,0.7332,1,4.266666666666667,1
256,0.7317,1,4.283333333333333,1
257,0.7348,1,4.3,1
258,0.7343,1,4.316666666666666,1
259,0.7279,1,4.333333333333333,1
260,0.7335,1,4.35,1
261,0.7335,1,4.366666666666666,1
262,0.7343,1,4.383333333333334,1
263,0.7363,1,4.4,1
264,0.733,1,4.416666666666667,1
265,0.7359,1,4.433333333333334,1
266,0.7281,1,4.45,1
267,0.7379,1,4.466666666666667,1
268,0.7358,1,4.483333333333333,1
269,0.7352,1,4.5,1
270,0.7346,1,4.516666666666667,1
271,0.7357,1,4.533333333333333,1
272,0.7354,1,4.55,1
273,0.7331,1,4.566666666666666,1
274,0.7321,1,4.583333333333333,1
275,0.7364,1,4.6,1
276,0.7338,1,4.616666666666666,1
277,0.7373,1,4.633333333333334,1
278,0.7359,1,4.65,1
279,0.7357,1,4.666666666666667,1
280,0.7374,1,4.683333333333334,1
281,0.7315,1,4.7,1
282,0.738,1,4.716666666666667,1
283,0.7336,1,4.733333333333333,1
284,0.7377,1,4.75,1
285,0.7377,1,4.766666666666667,1
286,0.7355,1,4.783333333333333,1
287,0.7385,1,4.8,1
288,0.7331,1,4.816666666666666,1
289,0.7376,1,4.833333333333333,1
290,0.737,1,4.85,1
291,0.7356,1,4.866666666666666,1
292,0.7401,1,4.883333333333334,1
293,0.7405,1,4.9,1
294,0.7406,1,4.916666666666667,1
295,0.7387,1,4.933333333333334,1
296,0.7405,1,4.95,1
297,0.7364,1,4.966666666666667,1
298,0.739,1,4.983333333333333,1
299,0.7349,1,5.0,1
300,0.7399,1,5.016666666666667,1
301,0.7369,1,5.033333333333333,1
302,0.7404,1,5.05,1
303,0.7388,1,5.066666666666666,1
304,0.7364,1,5.083333333333333,1
305,0.7407,1,5.1,1
306,0.7393,1,5.116666666666666,1
307,0.7378,1,5.133333333333334,1
308,0.7386,1,5.15,1
309,0.7388,1,5.166666666666667,1
310,0.7354,1,5.183333333333334,1
311,0.7356,1,5.2,1
312,0.7406,1,5.216666666666667,1
313,0.7393,1,5.233333333333333,1
314,0.7392,1,5.25,1
315,0.7408,1,5.266666666666667,1
316,0.7404,1,5.283333333333333,1
317,0.7407,1,5.3,1
318,0.7348,1,5.316666666666666,1
319,0.7385,1,5.333333333333333,1
