,Unnamed: 0,acc,bool_hebbian,phi,theta
0,,0.1046,0,0.01,1
1,,0.1088,1,0.01,1
2,,0.1138,0,0.02,1
3,,0.0797,1,0.02,1
4,,0.1598,0,0.03,1
5,,0.1013,1,0.03,1
6,,0.1005,0,0.04,1
7,,0.2183,1,0.04,1
8,,0.127,0,0.05,1
9,,0.1269,1,0.05,1
10,,0.1248,0,0.060000000000000005,1
11,,0.1669,1,0.060000000000000005,1
12,,0.122,0,0.06999999999999999,1
13,,0.1339,1,0.06999999999999999,1
14,,0.1595,0,0.08,1
15,,0.2413,1,0.08,1
16,,0.1168,0,0.09,1
17,,0.0997,1,0.09,1
18,,0.1989,0,0.09999999999999999,1
19,,0.2394,1,0.09999999999999999,1
20,,0.2574,0,0.1,1
21,,0.3009,1,0.1,1
22,,0.2548,0,0.15000000000000002,1
23,,0.2988,1,0.15000000000000002,1
24,,0.2798,0,0.20000000000000004,1
25,,0.2234,1,0.20000000000000004,1
26,,0.2424,0,0.25000000000000006,1
27,,0.3558,1,0.25000000000000006,1
28,,0.3797,0,0.30000000000000004,1
29,,0.2105,1,0.30000000000000004,1
30,,0.4119,0,0.3500000000000001,1
31,,0.2691,1,0.3500000000000001,1
32,,0.5308,0,0.40000000000000013,1
33,,0.4252,1,0.40000000000000013,1
34,,0.5248,0,0.45000000000000007,1
35,,0.4184,1,0.45000000000000007,1
36,,0.4449,0,0.5000000000000001,1
37,,0.2362,1,0.5000000000000001,1
38,,0.4608,0,0.5500000000000002,1
39,,0.5641,1,0.5500000000000002,1
40,,0.5609,0,0.6000000000000002,1
41,,0.4748,1,0.6000000000000002,1
42,,0.3184,0,0.6500000000000001,1
43,,0.6135,1,0.6500000000000001,1
44,,0.4557,0,0.7000000000000002,1
45,,0.2866,1,0.7000000000000002,1
46,,0.4027,0,0.7500000000000002,1
47,,0.446,1,0.7500000000000002,1
48,,0.4228,0,0.8000000000000002,1
49,,0.3718,1,0.8000000000000002,1
50,,0.5795,0,0.8500000000000002,1
51,,0.5416,1,0.8500000000000002,1
52,,0.5319,0,0.9000000000000002,1
53,,0.4685,1,0.9000000000000002,1
54,,0.5215,0,0.9500000000000003,1
55,,0.5613,1,0.9500000000000003,1
56,,0.2697,0,1.0000000000000004,1
57,,0.5088,1,1.0000000000000004,1
58,,0.7253,0,1.0,1
59,,0.4924,1,1.0,1
60,,0.5117,0,1.2,1
61,,0.3399,1,1.2,1
62,,0.5084,0,1.4,1
63,,0.7808,1,1.4,1
64,,0.4099,0,1.5999999999999999,1
65,,0.2805,1,1.5999999999999999,1
66,,0.4708,0,1.7999999999999998,1
67,,0.4335,1,1.7999999999999998,1
68,,0.578,0,1.9999999999999998,1
69,,0.6198,1,1.9999999999999998,1
70,,0.4529,0,2.1999999999999997,1
71,,0.6525,1,2.1999999999999997,1
72,,0.4866,0,2.3999999999999995,1
73,,0.3999,1,2.3999999999999995,1
74,,0.3766,0,2.5999999999999996,1
75,,0.5793,1,2.5999999999999996,1
76,,0.503,0,2.8,1
77,,0.4989,1,2.8,1
78,,0.4678,0,2.9999999999999996,1
79,,0.3636,1,2.9999999999999996,1
80,,0.3847,0,3.1999999999999993,1
81,,0.5321,1,3.1999999999999993,1
82,,0.4852,0,3.3999999999999995,1
83,,0.3497,1,3.3999999999999995,1
84,,0.5799,0,3.5999999999999996,1
85,,0.3355,1,3.5999999999999996,1
86,,0.4996,0,3.7999999999999994,1
87,,0.3835,1,3.7999999999999994,1
88,,0.5762,0,3.999999999999999,1
89,,0.6394,1,3.999999999999999,1
90,,0.2732,0,4.199999999999999,1
91,,0.5488,1,4.199999999999999,1
92,,0.6265,0,4.3999999999999995,1
93,,0.2998,1,4.3999999999999995,1
94,,0.5443,0,4.6,1
95,,0.3623,1,4.6,1
96,,0.5337,0,4.799999999999999,1
97,,0.4691,1,4.799999999999999,1
0,0.0,0.0937,0,0.01,1
1,1.0,0.1799,1,0.01,1
2,2.0,0.1261,0,0.02,1
3,3.0,0.0946,1,0.02,1
4,4.0,0.078,0,0.03,1
5,5.0,0.1174,1,0.03,1
6,6.0,0.1354,0,0.04,1
7,7.0,0.111,1,0.04,1
8,8.0,0.1239,0,0.05,1
9,9.0,0.1531,1,0.05,1
10,10.0,0.155,0,0.06000000000000001,1
11,11.0,0.1266,1,0.06000000000000001,1
12,12.0,0.1321,0,0.06999999999999999,1
13,13.0,0.1464,1,0.06999999999999999,1
14,14.0,0.1376,0,0.08,1
15,15.0,0.1451,1,0.08,1
16,16.0,0.1587,0,0.09,1
17,17.0,0.1688,1,0.09,1
18,18.0,0.1047,0,0.1,1
19,19.0,0.1066,1,0.1,1
20,20.0,0.1353,0,0.1,1
21,21.0,0.1294,1,0.1,1
22,22.0,0.2726,0,0.15000000000000002,1
23,23.0,0.2372,1,0.15000000000000002,1
24,24.0,0.2999,0,0.20000000000000004,1
25,25.0,0.4233,1,0.20000000000000004,1
26,26.0,0.4321,0,0.2500000000000001,1
27,27.0,0.3521,1,0.2500000000000001,1
28,28.0,0.2491,0,0.30000000000000004,1
29,29.0,0.3237,1,0.30000000000000004,1
30,30.0,0.40399999999999997,0,0.3500000000000001,1
31,31.0,0.3546,1,0.3500000000000001,1
32,32.0,0.10300000000000001,0,0.4000000000000001,1
33,33.0,0.4938,1,0.4000000000000001,1
34,34.0,0.4392,0,0.4500000000000001,1
35,35.0,0.3791,1,0.4500000000000001,1
36,36.0,0.3072,0,0.5000000000000001,1
37,37.0,0.4687,1,0.5000000000000001,1
38,38.0,0.4338,0,0.5500000000000002,1
39,39.0,0.3174,1,0.5500000000000002,1
40,40.0,0.3665,0,0.6000000000000002,1
41,41.0,0.527,1,0.6000000000000002,1
42,42.0,0.3741,0,0.6500000000000001,1
43,43.0,0.4889,1,0.6500000000000001,1
44,44.0,0.425,0,0.7000000000000002,1
45,45.0,0.428,1,0.7000000000000002,1
46,46.0,0.2841,0,0.7500000000000002,1
47,47.0,0.4278,1,0.7500000000000002,1
48,48.0,0.3801,0,0.8000000000000002,1
49,49.0,0.5765,1,0.8000000000000002,1
50,50.0,0.3546,0,0.8500000000000002,1
51,51.0,0.41100000000000003,1,0.8500000000000002,1
52,52.0,0.2663,0,0.9000000000000002,1
53,53.0,0.4581,1,0.9000000000000002,1
54,54.0,0.5313,0,0.9500000000000004,1
55,55.0,0.5676,1,0.9500000000000004,1
56,56.0,0.3268,0,1.0000000000000004,1
57,57.0,0.2858,1,1.0000000000000004,1
58,58.0,0.5718,0,1.0,1
59,59.0,0.2553,1,1.0,1
60,60.0,0.4131,0,1.2,1
61,61.0,0.6868,1,1.2,1
62,62.0,0.4691,0,1.4,1
63,63.0,0.6915,1,1.4,1
64,64.0,0.3221,0,1.6,1
65,65.0,0.7963,1,1.6,1
66,66.0,0.5616,0,1.7999999999999998,1
67,67.0,0.5149,1,1.7999999999999998,1
68,68.0,0.5665,0,2.0,1
69,69.0,0.5716,1,2.0,1
70,70.0,0.4791,0,2.2,1
71,71.0,0.46799999999999997,1,2.2,1
72,72.0,0.4719,0,2.3999999999999995,1
73,73.0,0.7363,1,2.3999999999999995,1
74,74.0,0.6634,0,2.6,1
75,75.0,0.4793,1,2.6,1
76,76.0,0.3825,0,2.8,1
77,77.0,0.5584,1,2.8,1
78,78.0,0.5806,0,3.0,1
79,79.0,0.5452,1,3.0,1
80,80.0,0.4278,0,3.1999999999999997,1
81,81.0,0.4079,1,3.1999999999999997,1
82,82.0,0.4137,0,3.3999999999999995,1
83,83.0,0.7437,1,3.3999999999999995,1
84,84.0,0.5043,0,3.6,1
85,85.0,0.3227,1,3.6,1
86,86.0,0.6534,0,3.8,1
87,87.0,0.7249,1,3.8,1
88,88.0,0.4328,0,3.9999999999999987,1
89,89.0,0.6931,1,3.9999999999999987,1
90,90.0,0.3369,0,4.199999999999998,1
91,91.0,0.4955,1,4.199999999999998,1
92,92.0,0.6308,0,4.4,1
93,93.0,0.3133,1,4.4,1
94,94.0,0.5758,0,4.6,1
95,95.0,0.5471,1,4.6,1
96,96.0,0.5459,0,4.799999999999999,1
97,97.0,0.7255,1,4.799999999999999,1
