,acc,bool_hebbian,phi,theta
0,0,0,5,0.001
1,0,1,5,0.001
2,0,0,5,0.002
3,0,1,5,0.002
4,0,0,5,0.003
5,0,1,5,0.003
6,0,0,5,0.004
7,0,1,5,0.004
8,0,0,5,0.005
9,0,1,5,0.005
10,0,0,5,0.006
11,0,1,5,0.006
12,0,0,5,0.007
13,0,1,5,0.007
14,0,0,5,0.008
15,0,1,5,0.008
16,0,0,5,0.009000000000000001
17,0,1,5,0.009000000000000001
18,0,0,5,0.010000000000000002
19,0,1,5,0.010000000000000002
20,0,0,5,0.01
21,0,1,5,0.01
22,0,0,5,0.015
23,0,1,5,0.015
24,0,0,5,0.019999999999999997
25,0,1,5,0.019999999999999997
26,0,0,5,0.024999999999999998
27,0,1,5,0.024999999999999998
28,0,0,5,0.03
29,0,1,5,0.03
30,0,0,5,0.034999999999999996
31,0,1,5,0.034999999999999996
32,0,0,5,0.039999999999999994
33,0,1,5,0.039999999999999994
34,0,0,5,0.045
35,0,1,5,0.045
36,0,0,5,0.049999999999999996
37,0,1,5,0.049999999999999996
38,0,0,5,0.05499999999999999
39,0,1,5,0.05499999999999999
40,0,0,5,0.05999999999999999
41,0,1,5,0.05999999999999999
42,0,0,5,0.06499999999999999
43,0,1,5,0.06499999999999999
44,0,0,5,0.06999999999999999
45,0,1,5,0.06999999999999999
46,0,0,5,0.07499999999999998
47,0,1,5,0.07499999999999998
48,0,0,5,0.07999999999999999
49,0,1,5,0.07999999999999999
50,0,0,5,0.08499999999999998
51,0,1,5,0.08499999999999998
52,0,0,5,0.08999999999999998
53,0,1,5,0.08999999999999998
54,0,0,5,0.09499999999999999
55,0,1,5,0.09499999999999999
56,0,0,5,0.09999999999999998
57,0,1,5,0.09999999999999998
58,0,0,5,0.1
59,0,1,5,0.1
60,0,0,5,0.11
61,0,1,5,0.11
62,0,0,5,0.12
63,0,1,5,0.12
64,0,0,5,0.13
65,0,1,5,0.13
66,0,0,5,0.13999999999999999
67,0,1,5,0.13999999999999999
68,0,0,5,0.14999999999999997
69,0,1,5,0.14999999999999997
