,theta,phi,fully_diff,control
0,0.0,0.0,0.12936571657968687,0.1244
1,0.0,0.1,0.10056202328382176,0.1004
2,0.0,0.2,0.11099959855479727,0.1298
3,0.0,0.30000000000000004,0.10869128863910077,0.1279
4,0.0,0.4,0.13950220794861498,0.1345
5,0.0,0.5,0.13057005218787635,0.134
6,0.0,0.6000000000000001,0.16910879164993978,0.1238
7,0.0,0.7000000000000001,0.1200321156162184,0.1094
8,0.0,0.8,0.1760337213970293,0.1233
9,0.0,0.9,0.10728623042954637,0.1772
10,0.0,1.0,0.11661983139301485,0.1455
11,0.1,0.0,0.12936571657968687,0.1532
12,0.1,0.1,0.4916700120433561,0.5463
13,0.1,0.2,0.5976515455640306,0.5664
14,0.1,0.30000000000000004,0.5112404656764352,0.5674
15,0.1,0.4,0.7432757928542754,0.7070000000000001
16,0.1,0.5,0.5413488558811722,0.7006
17,0.1,0.6000000000000001,0.7075471698113207,0.6878
18,0.1,0.7000000000000001,0.8821758329987957,0.8845
19,0.1,0.8,0.8035929345644319,0.7886
20,0.1,0.9,0.8948213568847853,0.8946
21,0.1,1.0,0.8111200321156162,0.8113
22,0.2,0.0,0.12936571657968687,0.1532
23,0.2,0.1,0.587213970293055,0.6044
24,0.2,0.2,0.6986150140505821,0.6988
25,0.2,0.30000000000000004,0.6118024889602569,0.7066
26,0.2,0.4,0.7432757928542754,0.8069
27,0.2,0.5,0.7502007226013649,0.8078
28,0.2,0.6000000000000001,0.812826174227218,0.8891
29,0.2,0.7000000000000001,0.8821758329987957,0.8845
30,0.2,0.8,0.8039943797671618,0.8144
31,0.2,0.9,0.8948213568847853,0.8946
32,0.2,1.0,0.8111200321156162,0.8113
33,0.30000000000000004,0.0,0.12936571657968687,0.1644
34,0.30000000000000004,0.1,0.5873143315937375,0.6493
35,0.30000000000000004,0.2,0.7002207948615013,0.6988
36,0.30000000000000004,0.30000000000000004,0.7533119229225209,0.8083
37,0.30000000000000004,0.4,0.7432757928542754,0.8069
38,0.30000000000000004,0.5,0.7502007226013649,0.8158
39,0.30000000000000004,0.6000000000000001,0.812826174227218,0.8891
40,0.30000000000000004,0.7000000000000001,0.8821758329987957,0.8845
41,0.30000000000000004,0.8,0.8996386993175431,0.8398
42,0.30000000000000004,0.9,0.8948213568847853,0.8946
43,0.30000000000000004,1.0,0.8111200321156162,0.8323
44,0.4,0.0,0.12936571657968687,0.1644
45,0.4,0.1,0.6109995985547972,0.6493
46,0.4,0.2,0.8038940184664793,0.7037
47,0.4,0.30000000000000004,0.8111200321156162,0.8083
48,0.4,0.4,0.8085106382978723,0.8069
49,0.4,0.5,0.7502007226013649,0.8158
50,0.4,0.6000000000000001,0.8361099959855479,0.8891
51,0.4,0.7000000000000001,0.8821758329987957,0.8845
52,0.4,0.8,0.8996386993175431,0.9165
53,0.4,0.9,0.9278402248093136,0.8946
54,0.4,1.0,0.9338619028502608,0.8432
55,0.5,0.0,0.12936571657968687,0.1644
56,0.5,0.1,0.8275792854275391,0.7753
57,0.5,0.2,0.8303894018466479,0.7037
58,0.5,0.30000000000000004,0.8111200321156162,0.8083
59,0.5,0.4,0.8282818145323163,0.8295
60,0.5,0.5,0.9184062625451626,0.8392
61,0.5,0.6000000000000001,0.8497591328783621,0.9154
62,0.5,0.7000000000000001,0.8821758329987957,0.8845
63,0.5,0.8,0.9271376957045364,0.9165
64,0.5,0.9,0.937575270975512,0.9298
65,0.5,1.0,0.9338619028502608,0.938
66,0.6000000000000001,0.0,0.12936571657968687,0.1644
67,0.6000000000000001,0.1,0.8275792854275391,0.7753
68,0.6000000000000001,0.2,0.8303894018466479,0.7037
69,0.6000000000000001,0.30000000000000004,0.854777197912485,0.8083
70,0.6000000000000001,0.4,0.8973303894018466,0.8295
71,0.6000000000000001,0.5,0.9184062625451626,0.8392
72,0.6000000000000001,0.6000000000000001,0.8497591328783621,0.9154
73,0.6000000000000001,0.7000000000000001,0.8898032918506624,0.9205
74,0.6000000000000001,0.8,0.934965877157768,0.9165
75,0.6000000000000001,0.9,0.937575270975512,0.9355
76,0.6000000000000001,1.0,0.9392814130871135,0.938
77,0.7000000000000001,0.0,0.12936571657968687,0.1644
78,0.7000000000000001,0.1,0.8275792854275391,0.7753
79,0.7000000000000001,0.2,0.8303894018466479,0.9006
80,0.7000000000000001,0.30000000000000004,0.854777197912485,0.8335
81,0.7000000000000001,0.4,0.9249297470895222,0.9152
82,0.7000000000000001,0.5,0.9184062625451626,0.9266
83,0.7000000000000001,0.6000000000000001,0.9094741067844241,0.9154
84,0.7000000000000001,0.7000000000000001,0.8898032918506624,0.9205
85,0.7000000000000001,0.8,0.934965877157768,0.9165
86,0.7000000000000001,0.9,0.937575270975512,0.9448
87,0.7000000000000001,1.0,0.9392814130871135,0.938
88,0.8,0.0,0.12936571657968687,0.1644
89,0.8,0.1,0.8275792854275391,0.7753
90,0.8,0.2,0.8303894018466479,0.9006
91,0.8,0.30000000000000004,0.854777197912485,0.9177
92,0.8,0.4,0.9249297470895222,0.9152
93,0.8,0.5,0.9184062625451626,0.9266
94,0.8,0.6000000000000001,0.9094741067844241,0.9154
95,0.8,0.7000000000000001,0.8898032918506624,0.9205
96,0.8,0.8,0.934965877157768,0.9165
97,0.8,0.9,0.937575270975512,0.9448
98,0.8,1.0,0.9549377759935768,0.938
99,0.9,0.0,0.14622641509433962,0.1644
100,0.9,0.1,0.8275792854275391,0.8064
101,0.9,0.2,0.8303894018466479,0.9006
102,0.9,0.30000000000000004,0.854777197912485,0.9177
103,0.9,0.4,0.9260337213970292,0.9152
104,0.9,0.5,0.9212163789642712,0.9266
105,0.9,0.6000000000000001,0.9326575672420716,0.9154
106,0.9,0.7000000000000001,0.8898032918506624,0.9312
107,0.9,0.8,0.934965877157768,0.9165
108,0.9,0.9,0.9513247691690084,0.9527
109,0.9,1.0,0.9549377759935768,0.938
110,1.0,0.0,0.14622641509433962,0.1644
111,1.0,0.1,0.8275792854275391,0.8064
112,1.0,0.2,0.8303894018466479,0.9006
113,1.0,0.30000000000000004,0.9252308309915696,0.9177
114,1.0,0.4,0.931453231633882,0.9287
115,1.0,0.5,0.9212163789642712,0.9266
116,1.0,0.6000000000000001,0.9326575672420716,0.9426
117,1.0,0.7000000000000001,0.8898032918506624,0.9446
118,1.0,0.8,0.934965877157768,0.9165
119,1.0,0.9,0.9513247691690084,0.9527
120,1.0,1.0,0.9549377759935768,0.938
