Loaded file: control.bayes
[31mBayesian Optimization[0m
[94m----------------------------------------------------------------------------------------------[0m
 Step |   Time |      Value |   learner_batch_size |   learning_rate |      mid1 |      mid2 | 
  186 | 04m46s |    0.48610 |             339.5860 |          0.0008 |  478.5968 |  347.1801 | 
  187 | 04m21s |    0.79090 |             250.8601 |          0.0009 |  554.5247 |  240.3733 | 
  188 | 04m36s |    0.76890 |             301.1432 |          0.0010 |  362.0059 |  337.4868 | 
  189 | 04m34s |    0.78340 |             296.4600 |          0.0001 |  365.2757 |  329.5112 | 
  190 | 04m34s |    0.74100 |             123.9527 |          0.0000 |   24.1168 |  334.3644 | 
  191 | 04m22s |    0.68190 |             129.5798 |          0.0005 |   22.6267 |  334.8130 | 
  192 | 04m43s |    0.70140 |             396.1844 |          0.0010 |  622.3164 |  118.1526 | 
  193 | 04m44s |    0.51150 |             225.8554 |          0.0000 |  558.3013 |  250.3538 | 
  194 | 05m31s |    0.58470 |             150.6982 |          0.0005 |  502.3329 |  665.2350 | 
  195 | 05m21s |    0.98010 |             216.9452 |          0.0008 |  775.9687 |  252.2161 | 
  196 | 05m08s |    0.58930 |             204.9933 |          0.0003 |  767.7270 |  243.0293 | 
  197 | 04m21s |    0.51330 |             499.6823 |          0.0000 |  519.9195 |  372.6419 | 
  198 | 35m00s |    0.82260 |               1.8871 |          0.0000 |  798.9621 |  106.3850 | 
  199 | 05m11s |    0.79130 |              84.4314 |          0.0010 |  380.1547 |  233.4958 | 
  200 | 04m17s |    0.49070 |             349.5460 |          0.0000 |  560.9687 |  155.7142 | 
  201 | 22m10s |    0.09800 |               5.3471 |          0.0008 |  731.7597 |  716.4556 | 
  202 | 04m11s |    0.97750 |             265.6153 |          0.0004 |  597.0074 |  502.7996 | 
  203 | 08m30s |    0.39080 |              14.4278 |          0.0007 |  696.9981 |  709.0973 | 
  204 | 05m50s |    0.68380 |              19.3829 |          0.0006 |  702.4238 |  709.4937 | 
  205 | 04m18s |    0.88310 |             191.0520 |          0.0010 |  194.4459 |  466.2971 | 
  206 | 04m57s |    0.62510 |             266.2998 |          0.0000 |  582.6434 |  491.3114 | 
  207 | 04m17s |    0.57060 |             165.4863 |          0.0009 |   50.3291 |   30.3297 | 
  208 | 03m26s |    0.79160 |             186.3600 |          0.0004 |  647.6726 |  664.5877 | 
  209 | 04m40s |    0.77350 |             174.7719 |          0.0007 |   35.1136 |   56.3617 | 
  210 | 04m34s |    0.75990 |             160.9982 |          0.0004 |   38.6521 |   57.9339 | 
  211 | 04m47s |    0.78160 |             131.9868 |          0.0006 |   33.2802 |   96.5327 | 
  212 | 04m55s |    0.75720 |             129.7137 |          0.0002 |   25.8126 |   89.0803 | 
  213 | 06m01s |    0.69820 |              51.1502 |          0.0010 |  417.5342 |  224.0923 | 
  214 | 06m45s |    0.68980 |              32.7007 |          0.0010 |  414.4703 |  222.0042 | 
  215 | 05m01s |    0.67790 |             195.3809 |          0.0010 |  649.5248 |  680.7907 | 
{'max_val': 0.9817, 'max_params': {'mid1': 612.5576463625512, 'mid2': 746.756482014418, 'learning_rate': 0.001, 'learner_batch_size': 309.07721048030334}}
