,Unnamed: 0,acc,bool_hebbian,phi,theta
0,,0.1613,0,5,0.001
1,,0.1104,0,5,0.001
2,,0.1057,0,5,0.001
3,,0.1877,0,5,0.001
4,,0.0947,0,5,0.001
5,,0.1982,0,5,0.001
6,,0.1084,0,5,0.001
7,,0.1124,0,5,0.001
8,,0.3221,0,5,0.001
9,,0.0995,0,5,0.001
10,,0.114,0,5,0.001
11,,0.1098,0,5,0.001
12,,0.2076,0,5,0.001
13,,0.1103,0,5,0.001
14,,0.1046,0,5,0.001
15,,0.0787,0,5,0.001
16,,0.2479,0,5,0.001
17,,0.1422,0,5,0.001
18,,0.2361,0,5,0.001
19,,0.224,0,5,0.001
20,,0.2734,0,5,0.001
21,,0.2237,0,5,0.001
22,,0.1066,0,5,0.001
23,,0.1663,0,5,0.001
24,,0.1266,0,5,0.001
25,,0.0949,0,5,0.001
26,,0.1154,0,5,0.001
27,,0.1901,0,5,0.001
28,,0.1777,0,5,0.001
29,,0.1262,0,5,0.001
30,,0.0888,0,5,0.001
31,,0.1386,0,5,0.001
32,,0.1293,0,5,0.001
33,,0.2709,0,5,0.001
34,,0.1381,0,5,0.001
35,,0.0894,0,5,0.001
36,,0.1924,0,5,0.001
37,,0.1302,0,5,0.001
38,,0.104,0,5,0.001
39,,0.1028,0,5,0.001
40,,0.1801,0,5,0.001
41,,0.2158,0,5,0.001
42,,0.1396,0,5,0.001
43,,0.1604,0,5,0.001
44,,0.2846,0,5,0.001
45,,0.0958,0,5,0.001
46,,0.1846,0,5,0.001
47,,0.1856,0,5,0.001
48,,0.2211,0,5,0.001
49,,0.1851,0,5,0.001
50,,0.1068,0,5,0.001
51,,0.1735,0,5,0.001
52,,0.1864,0,5,0.001
53,,0.1272,0,5,0.001
54,,0.1564,0,5,0.001
55,,0.3933,0,5,0.001
56,,0.1208,0,5,0.001
57,,0.2368,0,5,0.001
58,,0.209,0,5,0.001
59,,0.1605,0,5,0.001
60,,0.0898,0,5,0.001
61,,0.1197,0,5,0.001
62,,0.1631,0,5,0.001
63,,0.1695,0,5,0.001
64,,0.0888,0,5,0.001
65,,0.1027,0,5,0.001
66,,0.1013,0,5,0.001
67,,0.2127,0,5,0.001
68,,0.0743,0,5,0.001
69,,0.0965,0,5,0.001
70,,0.0963,0,5,0.001
71,,0.2,0,5,0.001
72,,0.0962,0,5,0.001
73,,0.0984,0,5,0.001
74,,0.3141,0,5,0.001
75,,0.1957,0,5,0.001
76,,0.1206,0,5,0.001
77,,0.2313,0,5,0.001
78,,0.2049,0,5,0.001
79,,0.1993,0,5,0.001
80,,0.1054,0,5,0.001
81,,0.1022,0,5,0.001
82,,0.2643,0,5,0.001
83,,0.1792,0,5,0.001
84,,0.2563,0,5,0.001
85,,0.1676,0,5,0.001
86,,0.2647,0,5,0.001
87,,0.1604,0,5,0.001
88,,0.1304,0,5,0.001
89,,0.1159,0,5,0.001
90,,0.1034,0,5,0.001
91,,0.0965,0,5,0.001
92,,0.1009,0,5,0.001
93,,0.2071,0,5,0.001
94,,0.2099,0,5,0.001
95,,0.0668,0,5,0.001
96,,0.2546,0,5,0.001
97,,0.0722,0,5,0.001
98,,0.1136,0,5,0.001
99,,0.2129,0,5,0.001
100,,0.0961,1,5,0.001
101,,0.3237,1,5,0.001
102,,0.053,1,5,0.001
103,,0.1032,1,5,0.001
104,,0.1197,1,5,0.001
105,,0.1476,1,5,0.001
106,,0.0727,1,5,0.001
107,,0.0958,1,5,0.001
108,,0.1217,1,5,0.001
109,,0.1048,1,5,0.001
110,,0.1288,1,5,0.001
