,acc,bool_optimal,phi,theta
0,0.1021,1,5,0.001
1,0.0995,1,5,0.001
2,0.0641,1,5,0.001
3,0.2501,1,5,0.001
4,0.2516,1,5,0.001
5,0.2379,1,5,0.001
6,0.0954,1,5,0.001
7,0.1069,1,5,0.001
8,0.116,1,5,0.001
9,0.1677,1,5,0.001
10,0.1719,1,5,0.001
11,0.1808,1,5,0.001
12,0.1353,1,5,0.001
13,0.1651,1,5,0.001
14,0.1618,1,5,0.001
15,0.1952,1,5,0.001
16,0.1112,1,5,0.001
17,0.1182,1,5,0.001
18,0.1123,1,5,0.001
19,0.1585,1,5,0.001
20,0.1681,1,5,0.001
21,0.1821,1,5,0.001
22,0.233,1,5,0.001
23,0.3164,1,5,0.001
24,0.288,1,5,0.001
25,0.1366,1,5,0.001
26,0.1703,1,5,0.001
27,0.1183,1,5,0.001
28,0.1446,1,5,0.001
29,0.2152,1,5,0.001
30,0.158,1,5,0.001
31,0.1724,1,5,0.001
32,0.1333,1,5,0.001
33,0.1608,1,5,0.001
34,0.1519,1,5,0.001
35,0.2004,1,5,0.001
36,0.1914,1,5,0.001
37,0.1032,1,5,0.001
38,0.2054,1,5,0.001
39,0.1101,1,5,0.001
40,0.1078,1,5,0.001
41,0.1799,1,5,0.001
42,0.1776,1,5,0.001
43,0.2638,1,5,0.001
44,0.1955,1,5,0.001
45,0.1686,1,5,0.001
46,0.1356,1,5,0.001
47,0.1041,1,5,0.001
48,0.1319,1,5,0.001
49,0.2782,1,5,0.001
50,0.1658,1,5,0.001
51,0.1814,1,5,0.001
52,0.0886,1,5,0.001
53,0.3754,1,5,0.001
54,0.1924,1,5,0.001
55,0.136,1,5,0.001
56,0.097,1,5,0.001
57,0.1444,1,5,0.001
58,0.2868,1,5,0.001
59,0.2091,1,5,0.001
60,0.1301,1,5,0.001
61,0.1347,1,5,0.001
62,0.1532,1,5,0.001
63,0.0991,1,5,0.001
64,0.1234,1,5,0.001
65,0.0746,1,5,0.001
66,0.1192,1,5,0.001
67,0.093,1,5,0.001
68,0.2128,1,5,0.001
69,0.1063,1,5,0.001
70,0.2257,1,5,0.001
71,0.0974,1,5,0.001
72,0.1679,1,5,0.001
73,0.0963,1,5,0.001
74,0.0707,1,5,0.001
75,0.1571,1,5,0.001
76,0.2102,1,5,0.001
77,0.2378,1,5,0.001
78,0.1632,1,5,0.001
79,0.0808,1,5,0.001
80,0.1249,1,5,0.001
81,0.1693,1,5,0.001
82,0.0847,1,5,0.001
83,0.1227,1,5,0.001
84,0.0956,1,5,0.001
85,0.1319,1,5,0.001
86,0.2211,1,5,0.001
87,0.1082,1,5,0.001
88,0.0959,1,5,0.001
89,0.1147,1,5,0.001
90,0.1959,1,5,0.001
91,0.2913,1,5,0.001
92,0.1555,1,5,0.001
93,0.1503,1,5,0.001
94,0.0962,1,5,0.001
95,0.1116,1,5,0.001
96,0.0985,1,5,0.001
97,0.1013,1,5,0.001
98,0.0972,1,5,0.001
99,0.1922,1,5,0.001
100,0.2168,1,5,0.002
101,0.1932,1,5,0.002
102,0.3301,1,5,0.002
103,0.2602,1,5,0.002
104,0.2303,1,5,0.002
105,0.1639,1,5,0.002
106,0.1961,1,5,0.002
107,0.0978,1,5,0.002
108,0.2886,1,5,0.002
109,0.1833,1,5,0.002
110,0.1812,1,5,0.002
111,0.313,1,5,0.002
112,0.2553,1,5,0.002
113,0.1918,1,5,0.002
114,0.1957,1,5,0.002
115,0.2217,1,5,0.002
116,0.162,1,5,0.002
117,0.1701,1,5,0.002
118,0.247,1,5,0.002
119,0.1218,1,5,0.002
120,0.1176,1,5,0.002
121,0.2391,1,5,0.002
122,0.2748,1,5,0.002
123,0.0905,1,5,0.002
124,0.1189,1,5,0.002
125,0.2029,1,5,0.002
126,0.2585,1,5,0.002
127,0.2486,1,5,0.002
128,0.0982,1,5,0.002
129,0.3323,1,5,0.002
130,0.2729,1,5,0.002
131,0.1447,1,5,0.002
132,0.1134,1,5,0.002
133,0.1153,1,5,0.002
134,0.2359,1,5,0.002
135,0.1889,1,5,0.002
136,0.31,1,5,0.002
137,0.151,1,5,0.002
138,0.2071,1,5,0.002
139,0.2489,1,5,0.002
140,0.1408,1,5,0.002
141,0.1037,1,5,0.002
142,0.1364,1,5,0.002
143,0.2069,1,5,0.002
144,0.36,1,5,0.002
145,0.1776,1,5,0.002
146,0.1451,1,5,0.002
147,0.1465,1,5,0.002
148,0.3206,1,5,0.002
149,0.1852,1,5,0.002
150,0.0987,1,5,0.002
151,0.1628,1,5,0.002
152,0.2882,1,5,0.002
153,0.1564,1,5,0.002
154,0.2892,1,5,0.002
155,0.2531,1,5,0.002
156,0.2706,1,5,0.002
157,0.1847,1,5,0.002
158,0.3357,1,5,0.002
159,0.1272,1,5,0.002
160,0.3665,1,5,0.002
161,0.2137,1,5,0.002
162,0.314,1,5,0.002
163,0.146,1,5,0.002
164,0.1792,1,5,0.002
165,0.0998,1,5,0.002
166,0.1854,1,5,0.002
167,0.096,1,5,0.002
168,0.2003,1,5,0.002
169,0.0925,1,5,0.002
170,0.2902,1,5,0.002
171,0.2259,1,5,0.002
172,0.2855,1,5,0.002
173,0.1415,1,5,0.002
174,0.1081,1,5,0.002
175,0.1853,1,5,0.002
176,0.4957,1,5,0.002
177,0.2171,1,5,0.002
178,0.2373,1,5,0.002
179,0.1849,1,5,0.002
180,0.1821,1,5,0.002
181,0.13,1,5,0.002
182,0.1192,1,5,0.002
183,0.1505,1,5,0.002
184,0.2298,1,5,0.002
185,0.1143,1,5,0.002
186,0.2362,1,5,0.002
187,0.1535,1,5,0.002
188,0.2219,1,5,0.002
189,0.2048,1,5,0.002
190,0.1445,1,5,0.002
191,0.4025,1,5,0.002
192,0.2125,1,5,0.002
193,0.2368,1,5,0.002
194,0.1462,1,5,0.002
195,0.1715,1,5,0.002
196,0.1442,1,5,0.002
197,0.3646,1,5,0.002
198,0.1301,1,5,0.002
199,0.141,1,5,0.002
200,0.2744,1,5,0.003
201,0.1796,1,5,0.003
202,0.2,1,5,0.003
203,0.1088,1,5,0.003
204,0.2433,1,5,0.003
205,0.1115,1,5,0.003
206,0.2729,1,5,0.003
207,0.2446,1,5,0.003
208,0.101,1,5,0.003
209,0.1512,1,5,0.003
210,0.2246,1,5,0.003
211,0.3359,1,5,0.003
212,0.5486,1,5,0.003
213,0.1814,1,5,0.003
214,0.2423,1,5,0.003
215,0.2322,1,5,0.003
216,0.4144,1,5,0.003
217,0.3317,1,5,0.003
218,0.2655,1,5,0.003
219,0.1803,1,5,0.003
220,0.0974,1,5,0.003
221,0.1701,1,5,0.003
222,0.2714,1,5,0.003
223,0.1518,1,5,0.003
224,0.3404,1,5,0.003
225,0.1005,1,5,0.003
226,0.1043,1,5,0.003
227,0.0982,1,5,0.003
228,0.3462,1,5,0.003
229,0.2444,1,5,0.003
230,0.1639,1,5,0.003
231,0.4113,1,5,0.003
232,0.1335,1,5,0.003
233,0.1953,1,5,0.003
234,0.1637,1,5,0.003
235,0.451,1,5,0.003
236,0.3582,1,5,0.003
237,0.2841,1,5,0.003
238,0.166,1,5,0.003
239,0.3677,1,5,0.003
240,0.1949,1,5,0.003
241,0.1529,1,5,0.003
242,0.3368,1,5,0.003
243,0.2461,1,5,0.003
244,0.3998,1,5,0.003
245,0.1653,1,5,0.003
246,0.1181,1,5,0.003
247,0.3148,1,5,0.003
248,0.1988,1,5,0.003
249,0.2186,1,5,0.003
250,0.3217,1,5,0.003
251,0.1754,1,5,0.003
252,0.3471,1,5,0.003
253,0.3407,1,5,0.003
254,0.2709,1,5,0.003
255,0.34,1,5,0.003
256,0.2524,1,5,0.003
257,0.1799,1,5,0.003
258,0.2842,1,5,0.003
259,0.269,1,5,0.003
260,0.3304,1,5,0.003
261,0.2547,1,5,0.003
262,0.1734,1,5,0.003
263,0.1829,1,5,0.003
264,0.3324,1,5,0.003
265,0.4538,1,5,0.003
266,0.1358,1,5,0.003
267,0.2035,1,5,0.003
268,0.3651,1,5,0.003
269,0.307,1,5,0.003
270,0.4374,1,5,0.003
271,0.0386,1,5,0.003
272,0.1673,1,5,0.003
273,0.2583,1,5,0.003
274,0.1523,1,5,0.003
275,0.279,1,5,0.003
276,0.343,1,5,0.003
277,0.1315,1,5,0.003
278,0.3019,1,5,0.003
279,0.265,1,5,0.003
280,0.1865,1,5,0.003
281,0.3634,1,5,0.003
282,0.1086,1,5,0.003
283,0.3533,1,5,0.003
284,0.2915,1,5,0.003
285,0.1008,1,5,0.003
286,0.1017,1,5,0.003
287,0.201,1,5,0.003
288,0.1685,1,5,0.003
289,0.2206,1,5,0.003
290,0.1032,1,5,0.003
291,0.4639,1,5,0.003
292,0.2921,1,5,0.003
293,0.1938,1,5,0.003
294,0.2831,1,5,0.003
295,0.3755,1,5,0.003
296,0.3577,1,5,0.003
297,0.4634,1,5,0.003
298,0.1725,1,5,0.003
299,0.1493,1,5,0.003
300,0.2575,1,5,0.004
301,0.2921,1,5,0.004
302,0.4764,1,5,0.004
303,0.3618,1,5,0.004
304,0.4114,1,5,0.004
305,0.3269,1,5,0.004
306,0.238,1,5,0.004
307,0.3298,1,5,0.004
308,0.2231,1,5,0.004
309,0.0981,1,5,0.004
310,0.1725,1,5,0.004
311,0.461,1,5,0.004
312,0.2356,1,5,0.004
313,0.3356,1,5,0.004
314,0.1962,1,5,0.004
315,0.2644,1,5,0.004
316,0.2658,1,5,0.004
317,0.348,1,5,0.004
318,0.3172,1,5,0.004
319,0.3116,1,5,0.004
320,0.244,1,5,0.004
321,0.3949,1,5,0.004
322,0.338,1,5,0.004
323,0.1418,1,5,0.004
324,0.3718,1,5,0.004
325,0.1917,1,5,0.004
326,0.4172,1,5,0.004
327,0.2207,1,5,0.004
328,0.2606,1,5,0.004
329,0.1726,1,5,0.004
330,0.1712,1,5,0.004
331,0.3666,1,5,0.004
332,0.3092,1,5,0.004
333,0.35,1,5,0.004
334,0.3485,1,5,0.004
335,0.3458,1,5,0.004
336,0.4019,1,5,0.004
337,0.2316,1,5,0.004
338,0.3611,1,5,0.004
339,0.2941,1,5,0.004
340,0.3693,1,5,0.004
341,0.1465,1,5,0.004
342,0.217,1,5,0.004
343,0.3097,1,5,0.004
344,0.249,1,5,0.004
345,0.359,1,5,0.004
346,0.2647,1,5,0.004
347,0.3241,1,5,0.004
348,0.3095,1,5,0.004
349,0.1806,1,5,0.004
350,0.2821,1,5,0.004
351,0.4246,1,5,0.004
352,0.352,1,5,0.004
353,0.1039,1,5,0.004
354,0.2762,1,5,0.004
355,0.2014,1,5,0.004
356,0.2,1,5,0.004
357,0.4344,1,5,0.004
358,0.285,1,5,0.004
359,0.3117,1,5,0.004
360,0.1479,1,5,0.004
361,0.1694,1,5,0.004
362,0.2155,1,5,0.004
363,0.3024,1,5,0.004
364,0.4712,1,5,0.004
365,0.3078,1,5,0.004
366,0.2981,1,5,0.004
367,0.2174,1,5,0.004
368,0.2826,1,5,0.004
369,0.1932,1,5,0.004
370,0.4437,1,5,0.004
371,0.2628,1,5,0.004
372,0.1582,1,5,0.004
373,0.3693,1,5,0.004
374,0.3956,1,5,0.004
375,0.1491,1,5,0.004
376,0.1017,1,5,0.004
377,0.2785,1,5,0.004
378,0.1267,1,5,0.004
379,0.3627,1,5,0.004
380,0.3167,1,5,0.004
381,0.1582,1,5,0.004
382,0.3271,1,5,0.004
383,0.2947,1,5,0.004
384,0.2261,1,5,0.004
385,0.2115,1,5,0.004
386,0.3123,1,5,0.004
387,0.1728,1,5,0.004
388,0.2881,1,5,0.004
389,0.3756,1,5,0.004
390,0.3833,1,5,0.004
391,0.3437,1,5,0.004
392,0.41,1,5,0.004
393,0.281,1,5,0.004
394,0.4074,1,5,0.004
395,0.2569,1,5,0.004
396,0.235,1,5,0.004
397,0.2936,1,5,0.004
398,0.1504,1,5,0.004
399,0.188,1,5,0.004
400,0.4371,1,5,0.005
401,0.3149,1,5,0.005
402,0.2308,1,5,0.005
403,0.4052,1,5,0.005
404,0.3793,1,5,0.005
405,0.3191,1,5,0.005
406,0.4469,1,5,0.005
407,0.3541,1,5,0.005
408,0.1183,1,5,0.005
409,0.37,1,5,0.005
410,0.2733,1,5,0.005
411,0.3792,1,5,0.005
412,0.1648,1,5,0.005
413,0.2712,1,5,0.005
414,0.2244,1,5,0.005
415,0.3933,1,5,0.005
416,0.1541,1,5,0.005
417,0.3144,1,5,0.005
418,0.3881,1,5,0.005
419,0.3582,1,5,0.005
420,0.43,1,5,0.005
421,0.4172,1,5,0.005
422,0.3588,1,5,0.005
423,0.3901,1,5,0.005
424,0.2448,1,5,0.005
425,0.2099,1,5,0.005
426,0.3433,1,5,0.005
427,0.4675,1,5,0.005
428,0.3845,1,5,0.005
429,0.26,1,5,0.005
430,0.329,1,5,0.005
431,0.4269,1,5,0.005
432,0.2514,1,5,0.005
433,0.5354,1,5,0.005
434,0.4085,1,5,0.005
435,0.2064,1,5,0.005
436,0.3119,1,5,0.005
437,0.3023,1,5,0.005
438,0.3111,1,5,0.005
439,0.4294,1,5,0.005
440,0.4029,1,5,0.005
441,0.4341,1,5,0.005
442,0.3682,1,5,0.005
443,0.2681,1,5,0.005
444,0.2082,1,5,0.005
445,0.3415,1,5,0.005
446,0.3134,1,5,0.005
447,0.2641,1,5,0.005
448,0.2204,1,5,0.005
449,0.3128,1,5,0.005
450,0.3017,1,5,0.005
451,0.1638,1,5,0.005
452,0.3137,1,5,0.005
453,0.3336,1,5,0.005
454,0.2665,1,5,0.005
455,0.2534,1,5,0.005
456,0.3181,1,5,0.005
457,0.3574,1,5,0.005
458,0.4707,1,5,0.005
459,0.3279,1,5,0.005
460,0.3172,1,5,0.005
461,0.3501,1,5,0.005
462,0.1879,1,5,0.005
463,0.1864,1,5,0.005
464,0.42,1,5,0.005
465,0.2552,1,5,0.005
466,0.2888,1,5,0.005
467,0.3089,1,5,0.005
468,0.3012,1,5,0.005
469,0.3163,1,5,0.005
470,0.4684,1,5,0.005
471,0.2037,1,5,0.005
472,0.3224,1,5,0.005
473,0.2899,1,5,0.005
474,0.2525,1,5,0.005
475,0.1621,1,5,0.005
476,0.1321,1,5,0.005
477,0.2341,1,5,0.005
478,0.4177,1,5,0.005
479,0.3264,1,5,0.005
480,0.3981,1,5,0.005
481,0.3484,1,5,0.005
482,0.4004,1,5,0.005
483,0.2908,1,5,0.005
484,0.1795,1,5,0.005
485,0.3683,1,5,0.005
486,0.2074,1,5,0.005
487,0.3158,1,5,0.005
488,0.2518,1,5,0.005
489,0.4625,1,5,0.005
490,0.3139,1,5,0.005
491,0.2539,1,5,0.005
492,0.4109,1,5,0.005
493,0.315,1,5,0.005
494,0.2515,1,5,0.005
495,0.359,1,5,0.005
496,0.2889,1,5,0.005
497,0.4301,1,5,0.005
498,0.2806,1,5,0.005
499,0.3476,1,5,0.005
500,0.3635,1,5,0.006
501,0.3777,1,5,0.006
502,0.4542,1,5,0.006
503,0.2865,1,5,0.006
504,0.3558,1,5,0.006
505,0.505,1,5,0.006
506,0.2639,1,5,0.006
507,0.2294,1,5,0.006
508,0.2449,1,5,0.006
509,0.3724,1,5,0.006
510,0.3485,1,5,0.006
511,0.3279,1,5,0.006
512,0.2145,1,5,0.006
513,0.343,1,5,0.006
514,0.475,1,5,0.006
515,0.4369,1,5,0.006
516,0.1222,1,5,0.006
517,0.2405,1,5,0.006
518,0.4276,1,5,0.006
519,0.2955,1,5,0.006
520,0.2478,1,5,0.006
521,0.3279,1,5,0.006
522,0.3478,1,5,0.006
523,0.1607,1,5,0.006
524,0.4384,1,5,0.006
525,0.1994,1,5,0.006
526,0.2214,1,5,0.006
527,0.3962,1,5,0.006
528,0.4846,1,5,0.006
529,0.1409,1,5,0.006
530,0.3269,1,5,0.006
531,0.6673,1,5,0.006
532,0.3051,1,5,0.006
533,0.3766,1,5,0.006
534,0.3017,1,5,0.006
535,0.2951,1,5,0.006
536,0.3309,1,5,0.006
537,0.4352,1,5,0.006
538,0.4231,1,5,0.006
539,0.4411,1,5,0.006
540,0.4066,1,5,0.006
541,0.1733,1,5,0.006
542,0.324,1,5,0.006
543,0.2006,1,5,0.006
544,0.2781,1,5,0.006
545,0.4061,1,5,0.006
546,0.3323,1,5,0.006
547,0.2114,1,5,0.006
548,0.4585,1,5,0.006
549,0.4363,1,5,0.006
550,0.4211,1,5,0.006
551,0.3981,1,5,0.006
552,0.3638,1,5,0.006
553,0.3707,1,5,0.006
554,0.4202,1,5,0.006
555,0.2832,1,5,0.006
556,0.4791,1,5,0.006
557,0.2636,1,5,0.006
558,0.6268,1,5,0.006
559,0.2799,1,5,0.006
560,0.3698,1,5,0.006
561,0.2638,1,5,0.006
562,0.4519,1,5,0.006
563,0.4892,1,5,0.006
564,0.2526,1,5,0.006
565,0.509,1,5,0.006
566,0.4722,1,5,0.006
567,0.3354,1,5,0.006
568,0.3352,1,5,0.006
569,0.378,1,5,0.006
570,0.3235,1,5,0.006
571,0.3788,1,5,0.006
572,0.1442,1,5,0.006
573,0.326,1,5,0.006
574,0.5059,1,5,0.006
575,0.2675,1,5,0.006
576,0.3223,1,5,0.006
577,0.2538,1,5,0.006
578,0.2654,1,5,0.006
579,0.4011,1,5,0.006
580,0.3622,1,5,0.006
581,0.3464,1,5,0.006
582,0.2957,1,5,0.006
583,0.4755,1,5,0.006
584,0.2592,1,5,0.006
585,0.2816,1,5,0.006
586,0.3073,1,5,0.006
587,0.3046,1,5,0.006
588,0.3054,1,5,0.006
589,0.3394,1,5,0.006
590,0.1859,1,5,0.006
591,0.3074,1,5,0.006
592,0.3494,1,5,0.006
593,0.2326,1,5,0.006
594,0.3661,1,5,0.006
595,0.2639,1,5,0.006
596,0.3348,1,5,0.006
597,0.3184,1,5,0.006
598,0.4168,1,5,0.006
599,0.2725,1,5,0.006
600,0.2915,1,5,0.007
601,0.2658,1,5,0.007
602,0.2899,1,5,0.007
603,0.5023,1,5,0.007
604,0.2206,1,5,0.007
605,0.2179,1,5,0.007
606,0.3269,1,5,0.007
607,0.37,1,5,0.007
608,0.3191,1,5,0.007
609,0.2983,1,5,0.007
610,0.4103,1,5,0.007
611,0.3141,1,5,0.007
612,0.2669,1,5,0.007
613,0.2871,1,5,0.007
614,0.4138,1,5,0.007
615,0.2008,1,5,0.007
616,0.3094,1,5,0.007
617,0.2003,1,5,0.007
618,0.3221,1,5,0.007
619,0.1592,1,5,0.007
620,0.3779,1,5,0.007
621,0.417,1,5,0.007
622,0.3265,1,5,0.007
623,0.234,1,5,0.007
624,0.2719,1,5,0.007
625,0.386,1,5,0.007
626,0.5433,1,5,0.007
627,0.3052,1,5,0.007
628,0.4279,1,5,0.007
629,0.4843,1,5,0.007
630,0.1859,1,5,0.007
631,0.1876,1,5,0.007
632,0.4985,1,5,0.007
633,0.2633,1,5,0.007
634,0.2618,1,5,0.007
635,0.3265,1,5,0.007
636,0.2365,1,5,0.007
637,0.1954,1,5,0.007
638,0.3772,1,5,0.007
639,0.1995,1,5,0.007
640,0.3424,1,5,0.007
641,0.341,1,5,0.007
642,0.2586,1,5,0.007
643,0.3768,1,5,0.007
644,0.3758,1,5,0.007
645,0.379,1,5,0.007
646,0.4388,1,5,0.007
647,0.398,1,5,0.007
648,0.3381,1,5,0.007
649,0.4429,1,5,0.007
650,0.3605,1,5,0.007
651,0.449,1,5,0.007
652,0.3761,1,5,0.007
653,0.3593,1,5,0.007
654,0.3055,1,5,0.007
655,0.2841,1,5,0.007
656,0.2916,1,5,0.007
657,0.4105,1,5,0.007
658,0.2306,1,5,0.007
659,0.3773,1,5,0.007
660,0.2979,1,5,0.007
661,0.4664,1,5,0.007
662,0.4052,1,5,0.007
663,0.4087,1,5,0.007
664,0.6032,1,5,0.007
665,0.337,1,5,0.007
666,0.4655,1,5,0.007
667,0.3703,1,5,0.007
668,0.4475,1,5,0.007
669,0.3745,1,5,0.007
670,0.4825,1,5,0.007
671,0.3778,1,5,0.007
672,0.3269,1,5,0.007
673,0.3276,1,5,0.007
674,0.4861,1,5,0.007
675,0.2995,1,5,0.007
676,0.2725,1,5,0.007
677,0.3606,1,5,0.007
678,0.4187,1,5,0.007
679,0.3689,1,5,0.007
680,0.3267,1,5,0.007
681,0.3605,1,5,0.007
682,0.3127,1,5,0.007
683,0.4531,1,5,0.007
684,0.28,1,5,0.007
685,0.1003,1,5,0.007
686,0.423,1,5,0.007
687,0.2846,1,5,0.007
688,0.4762,1,5,0.007
689,0.4396,1,5,0.007
690,0.358,1,5,0.007
691,0.3863,1,5,0.007
692,0.2339,1,5,0.007
693,0.4104,1,5,0.007
694,0.2608,1,5,0.007
695,0.3487,1,5,0.007
696,0.2941,1,5,0.007
697,0.4256,1,5,0.007
698,0.2799,1,5,0.007
699,0.4161,1,5,0.007
700,0.3622,1,5,0.008
701,0.3646,1,5,0.008
702,0.5135,1,5,0.008
703,0.4561,1,5,0.008
704,0.4684,1,5,0.008
705,0.3737,1,5,0.008
706,0.2282,1,5,0.008
707,0.3293,1,5,0.008
708,0.3156,1,5,0.008
709,0.1837,1,5,0.008
710,0.225,1,5,0.008
711,0.4052,1,5,0.008
712,0.2616,1,5,0.008
713,0.4322,1,5,0.008
