,acc,bool_hebbian,phi,theta
0,0.3409,0,0.01,1
1,0.3527,0,0.01,1
2,0.4312,0,0.01,1
3,0.4897,0,0.01,1
4,0.3691,0,0.01,1
5,0.4947,0,0.01,1
6,0.2804,0,0.01,1
7,0.2999,0,0.01,1
8,0.481,0,0.01,1
9,0.5268,0,0.01,1
10,0.3418,1,0.01,1
11,0.2982,1,0.01,1
12,0.345,1,0.01,1
13,0.3689,1,0.01,1
14,0.4931,1,0.01,1
15,0.2371,1,0.01,1
16,0.4337,1,0.01,1
17,0.2231,1,0.01,1
18,0.3474,1,0.01,1
19,0.4874,1,0.01,1
20,0.6125,0,0.02,1
21,0.6106,0,0.02,1
22,0.2599,0,0.02,1
23,0.5312,0,0.02,1
24,0.5556,0,0.02,1
25,0.5049,0,0.02,1
26,0.3971,0,0.02,1
27,0.4109,0,0.02,1
28,0.4704,0,0.02,1
29,0.6394,0,0.02,1
30,0.2844,1,0.02,1
31,0.5317,1,0.02,1
32,0.5012,1,0.02,1
33,0.3528,1,0.02,1
34,0.4058,1,0.02,1
35,0.4267,1,0.02,1
36,0.3857,1,0.02,1
37,0.3413,1,0.02,1
38,0.4973,1,0.02,1
39,0.3792,1,0.02,1
40,0.5329,0,0.03,1
41,0.5899,0,0.03,1
42,0.5276,0,0.03,1
43,0.6003,0,0.03,1
44,0.376,0,0.03,1
45,0.4076,0,0.03,1
46,0.565,0,0.03,1
47,0.5656,0,0.03,1
48,0.664,0,0.03,1
49,0.5915,0,0.03,1
50,0.5121,1,0.03,1
51,0.5232,1,0.03,1
52,0.5249,1,0.03,1
53,0.4991,1,0.03,1
54,0.4804,1,0.03,1
55,0.5965,1,0.03,1
56,0.4775,1,0.03,1
57,0.4227,1,0.03,1
58,0.6902,1,0.03,1
59,0.5708,1,0.03,1
60,0.512,0,0.04,1
61,0.5027,0,0.04,1
62,0.3796,0,0.04,1
63,0.4149,0,0.04,1
64,0.4134,0,0.04,1
65,0.5664,0,0.04,1
66,0.74,0,0.04,1
67,0.4546,0,0.04,1
68,0.6189,0,0.04,1
69,0.5917,0,0.04,1
70,0.5045,1,0.04,1
71,0.4661,1,0.04,1
72,0.4353,1,0.04,1
73,0.5721,1,0.04,1
74,0.5177,1,0.04,1
75,0.6012,1,0.04,1
76,0.3974,1,0.04,1
77,0.5103,1,0.04,1
78,0.604,1,0.04,1
79,0.5453,1,0.04,1
80,0.6219,0,0.05,1
81,0.5412,0,0.05,1
82,0.6732,0,0.05,1
83,0.5965,0,0.05,1
84,0.7183,0,0.05,1
85,0.5767,0,0.05,1
86,0.6568,0,0.05,1
87,0.7039,0,0.05,1
88,0.6839,0,0.05,1
89,0.7675,0,0.05,1
90,0.5388,1,0.05,1
91,0.4368,1,0.05,1
92,0.5595,1,0.05,1
93,0.589,1,0.05,1
94,0.6544,1,0.05,1
95,0.4597,1,0.05,1
96,0.6248,1,0.05,1
97,0.5323,1,0.05,1
98,0.5739,1,0.05,1
99,0.4625,1,0.05,1
100,0.7783,0,0.060000000000000005,1
101,0.7013,0,0.060000000000000005,1
102,0.5388,0,0.060000000000000005,1
103,0.5607,0,0.060000000000000005,1
104,0.6305,0,0.060000000000000005,1
105,0.8056,0,0.060000000000000005,1
106,0.606,0,0.060000000000000005,1
107,0.572,0,0.060000000000000005,1
108,0.5149,0,0.060000000000000005,1
109,0.8373,0,0.060000000000000005,1
110,0.7101,1,0.060000000000000005,1
111,0.6642,1,0.060000000000000005,1
112,0.5972,1,0.060000000000000005,1
113,0.5163,1,0.060000000000000005,1
114,0.4346,1,0.060000000000000005,1
115,0.5882,1,0.060000000000000005,1
116,0.4914,1,0.060000000000000005,1
117,0.3317,1,0.060000000000000005,1
118,0.6477,1,0.060000000000000005,1
119,0.5988,1,0.060000000000000005,1
120,0.4541,0,0.06999999999999999,1
121,0.6244,0,0.06999999999999999,1
122,0.5486,0,0.06999999999999999,1
123,0.6558,0,0.06999999999999999,1
124,0.5757,0,0.06999999999999999,1
125,0.7738,0,0.06999999999999999,1
126,0.7046,0,0.06999999999999999,1
127,0.2899,0,0.06999999999999999,1
128,0.6994,0,0.06999999999999999,1
129,0.3917,0,0.06999999999999999,1
130,0.6382,1,0.06999999999999999,1
131,0.5686,1,0.06999999999999999,1
132,0.5335,1,0.06999999999999999,1
133,0.4452,1,0.06999999999999999,1
134,0.496,1,0.06999999999999999,1
135,0.425,1,0.06999999999999999,1
136,0.439,1,0.06999999999999999,1
137,0.418,1,0.06999999999999999,1
138,0.3489,1,0.06999999999999999,1
139,0.6127,1,0.06999999999999999,1
140,0.7937,0,0.08,1
141,0.7934,0,0.08,1
142,0.7023,0,0.08,1
143,0.7082,0,0.08,1
144,0.7877,0,0.08,1
145,0.5109,0,0.08,1
146,0.4609,0,0.08,1
147,0.309,0,0.08,1
148,0.5426,0,0.08,1
149,0.5643,0,0.08,1
150,0.4655,1,0.08,1
151,0.5681,1,0.08,1
152,0.5227,1,0.08,1
153,0.6139,1,0.08,1
154,0.5278,1,0.08,1
155,0.6534,1,0.08,1
156,0.6325,1,0.08,1
157,0.5725,1,0.08,1
158,0.6363,1,0.08,1
159,0.4988,1,0.08,1
160,0.5604,0,0.09,1
161,0.8209,0,0.09,1
162,0.7012,0,0.09,1
163,0.6041,0,0.09,1
164,0.4695,0,0.09,1
165,0.8057,0,0.09,1
166,0.7142,0,0.09,1
167,0.8614,0,0.09,1
168,0.7501,0,0.09,1
169,0.5692,0,0.09,1
170,0.3656,1,0.09,1
171,0.5562,1,0.09,1
172,0.5274,1,0.09,1
173,0.4232,1,0.09,1
174,0.6082,1,0.09,1
175,0.4516,1,0.09,1
176,0.5052,1,0.09,1
177,0.6679,1,0.09,1
178,0.4693,1,0.09,1
179,0.5759,1,0.09,1
180,0.7182,0,0.09999999999999999,1
181,0.7231,0,0.09999999999999999,1
182,0.5574,0,0.09999999999999999,1
183,0.654,0,0.09999999999999999,1
184,0.098,0,0.09999999999999999,1
185,0.6287,0,0.09999999999999999,1
186,0.7029,0,0.09999999999999999,1
187,0.6172,0,0.09999999999999999,1
188,0.611,0,0.09999999999999999,1
189,0.5641,0,0.09999999999999999,1
190,0.5257,1,0.09999999999999999,1
191,0.4602,1,0.09999999999999999,1
192,0.5133,1,0.09999999999999999,1
193,0.6098,1,0.09999999999999999,1
194,0.5799,1,0.09999999999999999,1
195,0.5029,1,0.09999999999999999,1
196,0.5532,1,0.09999999999999999,1
197,0.602,1,0.09999999999999999,1
198,0.6669,1,0.09999999999999999,1
199,0.5388,1,0.09999999999999999,1
200,0.6465,0,0.1,1
201,0.6827,0,0.1,1
202,0.627,0,0.1,1
203,0.8123,0,0.1,1
204,0.7201,0,0.1,1
205,0.8854,0,0.1,1
206,0.6469,0,0.1,1
207,0.5592,0,0.1,1
208,0.6363,0,0.1,1
209,0.6873,0,0.1,1
210,0.5275,1,0.1,1
211,0.7071,1,0.1,1
212,0.6051,1,0.1,1
213,0.4831,1,0.1,1
214,0.5548,1,0.1,1
215,0.446,1,0.1,1
216,0.3632,1,0.1,1
217,0.491,1,0.1,1
218,0.6309,1,0.1,1
219,0.4695,1,0.1,1
220,0.7394,0,0.15000000000000002,1
221,0.7873,0,0.15000000000000002,1
222,0.6374,0,0.15000000000000002,1
223,0.7513,0,0.15000000000000002,1
