,Unnamed: 0,Unnamed: 0.1,acc,bool_hebbian,phi,theta
0,,,0.2069,0,5,0.001
1,,,0.1224,0,5,0.001
2,,,0.2195,0,5,0.001
3,,,0.2967,0,5,0.001
4,,,0.1198,0,5,0.001
5,,,0.4178,0,5,0.001
6,,,0.1911,0,5,0.001
7,,,0.0721,0,5,0.001
8,,,0.1082,0,5,0.001
9,,,0.1474,0,5,0.001
10,,,0.0871,0,5,0.001
11,,,0.1603,0,5,0.001
12,,,0.0583,0,5,0.001
13,,,0.1017,0,5,0.001
14,,,0.0864,0,5,0.001
15,,,0.1032,0,5,0.001
16,,,0.1263,0,5,0.001
17,,,0.1336,0,5,0.001
18,,,0.2338,0,5,0.001
19,,,0.1205,0,5,0.001
20,,,0.0976,0,5,0.001
21,,,0.1914,0,5,0.001
22,,,0.1059,0,5,0.001
23,,,0.2131,0,5,0.001
24,,,0.1239,0,5,0.001
25,,,0.2315,0,5,0.001
26,,,0.1032,0,5,0.001
27,,,0.1014,0,5,0.001
28,,,0.132,0,5,0.001
29,,,0.1052,0,5,0.001
30,,,0.1601,0,5,0.001
31,,,0.2019,0,5,0.001
32,,,0.08,0,5,0.001
33,,,0.0982,0,5,0.001
34,,,0.1143,0,5,0.001
35,,,0.094,0,5,0.001
36,,,0.1452,0,5,0.001
37,,,0.1189,0,5,0.001
38,,,0.2078,0,5,0.001
39,,,0.1413,0,5,0.001
40,,,0.2173,0,5,0.001
41,,,0.1692,0,5,0.001
42,,,0.1031,0,5,0.001
43,,,0.1053,0,5,0.001
44,,,0.0724,0,5,0.001
45,,,0.0814,0,5,0.001
46,,,0.0773,0,5,0.001
47,,,0.0912,0,5,0.001
48,,,0.1017,0,5,0.001
49,,,0.1023,0,5,0.001
50,,,0.1152,0,5,0.001
51,,,0.256,0,5,0.001
52,,,0.1859,0,5,0.001
53,,,0.0697,0,5,0.001
54,,,0.1571,0,5,0.001
55,,,0.1062,0,5,0.001
56,,,0.2666,0,5,0.001
57,,,0.2501,0,5,0.001
58,,,0.1045,0,5,0.001
59,,,0.115,0,5,0.001
60,,,0.0964,0,5,0.001
61,,,0.2525,0,5,0.001
62,,,0.2408,0,5,0.001
63,,,0.1283,0,5,0.001
64,,,0.1095,0,5,0.001
65,,,0.1142,0,5,0.001
66,,,0.1219,0,5,0.001
67,,,0.1748,0,5,0.001
68,,,0.0737,0,5,0.001
69,,,0.2311,0,5,0.001
70,,,0.3074,0,5,0.001
71,,,0.1167,0,5,0.001
72,,,0.2117,0,5,0.001
73,,,0.1129,0,5,0.001
74,,,0.1032,0,5,0.001
75,,,0.1505,0,5,0.001
76,,,0.1236,0,5,0.001
77,,,0.0892,0,5,0.001
78,,,0.1621,0,5,0.001
79,,,0.1208,0,5,0.001
80,,,0.1398,0,5,0.001
81,,,0.1287,0,5,0.001
82,,,0.2023,0,5,0.001
83,,,0.1165,0,5,0.001
84,,,0.092,0,5,0.001
85,,,0.1379,0,5,0.001
86,,,0.2182,0,5,0.001
87,,,0.2347,0,5,0.001
88,,,0.1415,0,5,0.001
89,,,0.1892,0,5,0.001
90,,,0.1325,1,5,0.001
91,,,0.1724,1,5,0.001
92,,,0.2638,1,5,0.001
93,,,0.0965,1,5,0.001
94,,,0.1744,1,5,0.001
95,,,0.1009,1,5,0.001
96,,,0.1454,1,5,0.001
97,,,0.1038,1,5,0.001
98,,,0.2822,1,5,0.001
99,,,0.2033,1,5,0.001
100,,,0.3542,1,5,0.001
101,,,0.0951,1,5,0.001
102,,,0.0933,1,5,0.001
103,,,0.2511,1,5,0.001
104,,,0.1237,1,5,0.001
105,,,0.1512,1,5,0.001
106,,,0.1524,1,5,0.001
107,,,0.1762,1,5,0.001
108,,,0.1043,1,5,0.001
109,,,0.106,1,5,0.001
110,,,0.1676,1,5,0.001
111,,,0.1296,1,5,0.001
112,,,0.0922,1,5,0.001
113,,,0.1028,1,5,0.001
114,,,0.1084,1,5,0.001
115,,,0.151,1,5,0.001
116,,,0.1156,1,5,0.001
117,,,0.4285,1,5,0.001
118,,,0.2205,1,5,0.001
119,,,0.1595,1,5,0.001
120,,,0.407,1,5,0.001
121,,,0.2711,1,5,0.001
122,,,0.1002,1,5,0.001
123,,,0.0789,1,5,0.001
124,,,0.1653,1,5,0.001
125,,,0.2021,1,5,0.001
126,,,0.0981,1,5,0.001
127,,,0.1933,1,5,0.001
128,,,0.1694,1,5,0.001
129,,,0.0953,1,5,0.001
130,,,0.1683,1,5,0.001
131,,,0.099,1,5,0.001
132,,,0.1432,1,5,0.001
133,,,0.0915,1,5,0.001
134,,,0.0974,1,5,0.001
135,,,0.2008,1,5,0.001
136,,,0.1659,1,5,0.001
137,,,0.1783,1,5,0.001
138,,,0.2383,1,5,0.001
139,,,0.0883,1,5,0.001
140,,,0.0525,1,5,0.001
141,,,0.1404,1,5,0.001
142,,,0.211,1,5,0.001
143,,,0.1296,1,5,0.001
144,,,0.1247,1,5,0.001
145,,,0.1686,1,5,0.001
146,,,0.1119,1,5,0.001
147,,,0.1604,1,5,0.001
148,,,0.1153,1,5,0.001
149,,,0.1467,1,5,0.001
150,,,0.1221,1,5,0.001
151,,,0.0997,1,5,0.001
152,,,0.1641,1,5,0.001
153,,,0.1542,1,5,0.001
154,,,0.158,1,5,0.001
155,,,0.174,1,5,0.001
156,,,0.0699,1,5,0.001
157,,,0.1068,1,5,0.001
158,,,0.3295,1,5,0.001
159,,,0.2109,1,5,0.001
160,,,0.1144,1,5,0.001
161,,,0.1016,1,5,0.001
162,,,0.0754,1,5,0.001
163,,,0.2513,1,5,0.001
164,,,0.1483,1,5,0.001
165,,,0.101,1,5,0.001
166,,,0.2217,1,5,0.001
167,,,0.0958,1,5,0.001
168,,,0.0972,1,5,0.001
169,,,0.2085,1,5,0.001
170,,,0.1715,1,5,0.001
171,,,0.1032,1,5,0.001
172,,,0.0711,1,5,0.001
173,,,0.1042,1,5,0.001
