,theta,fully_diff,control
0,0.0,0.10106382978723404,0.1374
1,0.01,0.44128863910076277,0.4857
2,0.02,0.516258530710558,0.6087
3,0.03,0.717482938578884,0.7065
4,0.04,0.7000200722601365,0.6502
5,0.05,0.7885387394620634,0.6344
6,0.06,0.6984142914492172,0.7812
7,0.07,0.6336812525090325,0.7247
8,0.08,0.7327378562826175,0.7318
9,0.09,0.8836812525090325,0.7305
10,0.1,0.7295262946607788,0.7886
11,0.11,0.7251103974307507,0.7377
12,0.12,0.81985146527499,0.8312
13,0.13,0.6786431152147732,0.8304
14,0.14,0.7492974708952228,0.6306
15,0.15,0.8304897631473304,0.6944
16,0.16,0.7495985547972702,0.8013
17,0.17,0.9117824167001204,0.6516
18,0.18,0.8292854275391409,0.6659
19,0.19,0.8443396226415094,0.7171
20,0.2,0.8230630268968285,0.8339
21,0.21,0.7016258530710558,0.8156
22,0.22,0.7523083099156965,0.8714
23,0.23,0.83129265355279,0.7452
24,0.24,0.782517061421116,0.7456
25,0.25,0.8083099156965075,0.7653
26,0.26,0.6855680449618627,0.8366
27,0.27,0.8815736651947009,0.8315
28,0.28,0.7451826575672421,0.8128
29,0.29,0.8541750301083902,0.7567
30,0.3,0.8296868727418707,0.7382
31,0.31,0.8999397832195906,0.8414
32,0.32,0.7677639502207949,0.8121
33,0.33,0.8060016057808109,0.8404
34,0.34,0.7227017262143718,0.7592
35,0.35000000000000003,0.7740867121637897,0.8319
36,0.36,0.7529104777197912,0.8333
37,0.37,0.8850863107185869,0.7534
38,0.38,0.8110196708149338,0.9325
39,0.39,0.9270373344038538,0.7537
40,0.4,0.9339622641509434,0.938
41,0.41000000000000003,0.8030911280610197,0.8532
42,0.42,0.7349458048976315,0.7558
43,0.43,0.7469891609795263,0.7587
44,0.44,0.9335608189482135,0.8249
45,0.45,0.8603974307507025,0.855
46,0.46,0.8551786431152147,0.8397
47,0.47000000000000003,0.9383781613809715,0.7748
48,0.48,0.8945202729827378,0.8476
49,0.49,0.8584905660377359,0.8488
50,0.5,0.8034925732637495,0.8323
51,0.51,0.9338619028502609,0.8495
52,0.52,0.9337615415495785,0.7712
53,0.53,0.810417503010839,0.8614
54,0.54,0.8206543556804496,0.7737
55,0.55,0.7876354877559213,0.9428
56,0.56,0.8419309514251305,0.7747
57,0.5700000000000001,0.938478522681654,0.8582
58,0.58,0.8818747490967483,0.7454
59,0.59,0.8295865114411882,0.8588
60,0.6,0.8352067442794059,0.9422
61,0.61,0.8061019670814934,0.8537
62,0.62,0.9434965877157768,0.8602
63,0.63,0.7897430750702529,0.9285
64,0.64,0.8962264150943396,0.7445
65,0.65,0.7981734243275793,0.7617
66,0.66,0.8142312324367724,0.764
67,0.67,0.8675230830991569,0.9473
68,0.68,0.8466479325572059,0.8693
69,0.6900000000000001,0.8154355680449619,0.6902
70,0.7000000000000001,0.9479124849458049,0.8651
71,0.71,0.8134283420313128,0.8477
72,0.72,0.8218586912886391,0.7781
73,0.73,0.7919510236852669,0.7662
74,0.74,0.8908069048574869,0.8589
75,0.75,0.8659173022882376,0.7719
76,0.76,0.9528301886792453,0.941
77,0.77,0.9141910879164994,0.8368
78,0.78,0.9474106784423926,0.8744
79,0.79,0.8043958249698916,0.7784
80,0.8,0.9508229626655962,0.8504
81,0.81,0.9222199919710959,0.7682
82,0.8200000000000001,0.948815736651947,0.768
83,0.8300000000000001,0.8445403452428744,0.9461
84,0.84,0.9500200722601365,0.775
85,0.85,0.9368727418707347,0.8617
86,0.86,0.7735849056603774,0.6766
87,0.87,0.8531714171015656,0.8487
88,0.88,0.8459454034524287,0.7697
89,0.89,0.8893014853472501,0.7811
90,0.9,0.8548775592131674,0.7799
91,0.91,0.9554395824969891,0.6937
92,0.92,0.9038538739462063,0.7686
93,0.93,0.9559413890004015,0.7851
94,0.9400000000000001,0.9130871136089924,0.6728
95,0.9500000000000001,0.9418908069048575,0.8689
96,0.96,0.8808711360899237,0.8483
97,0.97,0.6822561220393416,0.8668
98,0.98,0.8921116017663588,0.8659
99,0.99,0.8565837013247691,0.958
100,1.0,0.8315937374548374,0.675
